attr;boolean;deprecated;tags;doc;url
onmouseout;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onmouseover;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onmouseup;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onmousewheel;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onpause;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onplay;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onplaying;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onprogress;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onratechange;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onreset;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onresize;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onscroll;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onseeked;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onseeking;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onselect;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onshow;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onsort;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onstalled;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onsubmit;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onsuspend;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ontimeupdate;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ontoggle;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onvolumechange;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onwaiting;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
